Kingdom	Phylum	Class	Order	Family	Genus	Species	u1_S_PC	u2_S_PCD	u3_S_PC	u4_S_PC	u5_S_PCD	u6_S_PC	u7_S_PC	u8_S_PC	u9_S_PCD	u10_S_PC	u11_S_PC	u12_S_PCD	u13_S_PC	u14_S_PCD	u15_S_PC	u17_S_PC	u18_S_PCD	u19_S_PCD	u20_S_PCD	u21_S_PC	u22_S_PC	u23_S_PC	u24_S_PCD	u25_S_PC	u26_S_PC	u27_S_PCD	u28_S_PCD	u29_S_PC	u30_S_PC	u31_S_PC	u32_S_PCD	u33_S_PCD	u34_S_PCD	u35_S_PCD	u36_S_PCD	u37_S_PCD	u38_S_PCD	u39_S_PC	u40_S_PCD	u41_S_PCD	u42_S_PC	u43_S_PC	u44_S_PCD	u45_S_PCD	u46_S_PCD	u47_S_PC	u49_S_PC	u50_S_PC	u51_S_PCD	u52_S_N	u53_S_P	u54_S_N	u55_S_P	u56_S_N	u57_S_N	u58_S_N	u59_S_N	u60_S_N	u61_S_N	u62_S_P	u63_S_N	u64_S_N	u65_S_P	u66_S_N	u67_S_P	u68_S_N	u69_S_N	u70_S_N	u71_S_N	u72_S_N	u73_S_N	u74_S_N	u75_S_P	u76_S_PD	u77_S_P	u78_S_N	u79_S_N	u80_S_N	u81_S_N	u82_S_N	u83_S_N	u84_S_PD	u85_S_PD	u86_S_P	u87_S_P	u88_S_P	u89_S_N	u90_S_N	u91_S_N	u92_S_N	u93_S_N	u94_S_P	u95_S_N	u96_S_N	u97_S_P	u98_S_PD	u99_S_N	u100_S_PD	u101_S_N	u102_S_N	u103_S_PD
Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13_2_20CM_66_19	13_2_20CM_66_19_sp021817875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.75e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14_2	14_2_sp910577785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14_2	14_2_sp910580195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14_2	14_2_sp910587895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14_2	14_2_sp910588845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42_69	1XD42_69_sp011959925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD42_69	1XD42_69_sp022794015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8_76	1XD8_76_sp003611955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8_76	1XD8_76_sp014804795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.75e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8_76	1XD8_76_sp021769625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.47e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.77e-06	0	0	0	0	0	0	0	1.7e-06	0	0	0	0	0	0	0	0	0
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	1XD8_76	1XD8_76_sp910578085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA1547_A	2011_GWC2_44_17	2011_GWC2_44_17_sp001029695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Pseudomonadota	Gammaproteobacteria	UBA4486	UBA4486	2_02_FULL_61_13	2_02_FULL_61_13_sp001801865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
