pmid,title,doi,year,journal,oa_status,notes
42615762,The Causal Effect of Supra- and Sub-Gingival Instrumentation on the Oral Microbiome of Elderly Periodontitis Patients,10.1111/jcpe.70193,2026,Journal of clinical periodontology,subscription,Too new for HKU catalog
42571869,Shotgun Metagenomic Analysis Reveals Taxonomic and Functional Transitions in the Salivary Microbiome During Periodontal Disease Progression,10.1111/jcpe.70184,2026,Journal of clinical periodontology,subscription,Too new for HKU catalog
42566284,Alterations in the feline oral microbiome in common oral diseases - A comprehensive review,10.1556/1886.2026.00040,2026,European journal of microbiology & immunology,subscription,Too new for HKU catalog
42535857,High-resolution taxonomic profiling and metatranscriptomics identify microbial factors in peri-implant disease,10.1128/msystems.00754-25,2026,mSystems,subscription,Too new for HKU catalog
42435962,Cross-kingdom dynamics of the subgingival bacteriome and mycobiome,10.1016/j.jdent.2026.106905,2026,Journal of dentistry,subscription,Too new for HKU catalog
42320590,Staging-dependent dysbiosis of plaque microbiota in early childhood caries,10.1016/j.jdent.2026.106846,2026,Journal of dentistry,subscription,Too new for HKU catalog
41543226,Association between dental flossing frequency and oral microbiome in U.S. adults,10.1080/07853890.2026.2614826,2026,Annals of medicine,OA,Downloaded from Europe PMC (PMC12818320)
